UniprotID,chembl_targets,type
P36507,CHEMBL2964,SINGLE PROTEIN
P36507,CHEMBL2111289,PROTEIN FAMILY
P36888,CHEMBL1974,SINGLE PROTEIN
P36894,CHEMBL5275,SINGLE PROTEIN
P36896,CHEMBL5310,SINGLE PROTEIN
P36897,CHEMBL4439,SINGLE PROTEIN
P37023,CHEMBL5311,SINGLE PROTEIN
P37173,CHEMBL4267,SINGLE PROTEIN
P41240,CHEMBL2634,SINGLE PROTEIN
P41279,CHEMBL4899,SINGLE PROTEIN
P41743,CHEMBL2598,SINGLE PROTEIN
P41743,CHEMBL2093867,PROTEIN FAMILY
P41743,CHEMBL3885627,PROTEIN FAMILY
P42336,CHEMBL4005,SINGLE PROTEIN
P42336,CHEMBL2111367,PROTEIN COMPLEX
P42336,CHEMBL3559703,PROTEIN COMPLEX GROUP
P42336,CHEMBL3885616,PROTEIN FAMILY
P42338,CHEMBL3145,SINGLE PROTEIN
P42338,CHEMBL3038510,PROTEIN COMPLEX
P42338,CHEMBL3559703,PROTEIN COMPLEX GROUP
P42338,CHEMBL3885615,PROTEIN COMPLEX
P42345,CHEMBL2842,SINGLE PROTEIN
P42345,CHEMBL2221341,PROTEIN COMPLEX
P42345,CHEMBL4296661,PROTEIN COMPLEX
P42345,CHEMBL4296662,PROTEIN COMPLEX
P42356,CHEMBL3667,SINGLE PROTEIN
P42356,CHEMBL3038509,PROTEIN COMPLEX
P42356,CHEMBL2096619,PROTEIN FAMILY
P42679,CHEMBL4175,SINGLE PROTEIN
P42680,CHEMBL4246,SINGLE PROTEIN
P42680,CHEMBL4296642,PROTEIN FAMILY
P42681,CHEMBL4367,SINGLE PROTEIN
P42681,CHEMBL4296642,PROTEIN FAMILY
P42684,CHEMBL4014,SINGLE PROTEIN
P42684,CHEMBL2111414,PROTEIN FAMILY
P42685,CHEMBL4223,SINGLE PROTEIN
P42685,CHEMBL2363074,PROTEIN FAMILY
P43250,CHEMBL6144,SINGLE PROTEIN
P43403,CHEMBL2803,SINGLE PROTEIN
P43405,CHEMBL2599,SINGLE PROTEIN
P45983,CHEMBL2276,SINGLE PROTEIN
P45983,CHEMBL2096667,PROTEIN FAMILY
P45983,CHEMBL4296098,PROTEIN FAMILY
P45984,CHEMBL4179,SINGLE PROTEIN
P45984,CHEMBL2096667,PROTEIN FAMILY
P45984,CHEMBL4296098,PROTEIN FAMILY
P45984,CHEMBL3038502,PROTEIN FAMILY
P45985,CHEMBL2897,SINGLE PROTEIN
P46734,CHEMBL2109,SINGLE PROTEIN
P48426,CHEMBL1795194,SINGLE PROTEIN
P48729,CHEMBL2793,SINGLE PROTEIN
P48729,CHEMBL2111458,PROTEIN FAMILY
P48729,CHEMBL4296102,PROTEIN COMPLEX
P48729,CHEMBL3038493,PROTEIN COMPLEX
P48729,CHEMBL3885539,PROTEIN COMPLEX
P48730,CHEMBL2828,SINGLE PROTEIN
P48730,CHEMBL2111458,PROTEIN FAMILY
P48730,CHEMBL3038494,PROTEIN COMPLEX
P48736,CHEMBL3267,SINGLE PROTEIN
P48736,CHEMBL3430881,PROTEIN COMPLEX
P48736,CHEMBL4296106,PROTEIN COMPLEX
P48736,CHEMBL3559703,PROTEIN COMPLEX GROUP
P48736,CHEMBL3885617,PROTEIN FAMILY
P49137,CHEMBL2208,SINGLE PROTEIN
P49336,CHEMBL5719,SINGLE PROTEIN
P49336,CHEMBL3038474,PROTEIN COMPLEX
P49336,CHEMBL3559691,PROTEIN FAMILY
P49336,CHEMBL4296125,PROTEIN-PROTEIN INTERACTION
P49336,CHEMBL3885556,PROTEIN FAMILY
P49674,CHEMBL4937,SINGLE PROTEIN
P49674,CHEMBL2111458,PROTEIN FAMILY
P49674,CHEMBL3038494,PROTEIN COMPLEX
P49674,CHEMBL3883308,PROTEIN-PROTEIN INTERACTION
P49759,CHEMBL4224,SINGLE PROTEIN
P49759,CHEMBL4106176,PROTEIN FAMILY
P49760,CHEMBL4225,SINGLE PROTEIN
P49761,CHEMBL4226,SINGLE PROTEIN
P49840,CHEMBL2850,SINGLE PROTEIN
P49840,CHEMBL2095188,PROTEIN FAMILY
P49841,CHEMBL262,SINGLE PROTEIN
P49841,CHEMBL2095188,PROTEIN FAMILY
P49841,CHEMBL3883309,PROTEIN-PROTEIN INTERACTION
P50613,CHEMBL3055,SINGLE PROTEIN
P50613,CHEMBL2111288,PROTEIN COMPLEX
P50613,CHEMBL3038473,PROTEIN COMPLEX
P50613,CHEMBL3559691,PROTEIN FAMILY
P50750,CHEMBL3116,SINGLE PROTEIN
P50750,CHEMBL2111389,PROTEIN COMPLEX
P50750,CHEMBL3038475,PROTEIN COMPLEX
P50750,CHEMBL3559691,PROTEIN FAMILY
P50750,CHEMBL4106184,PROTEIN FAMILY
P51451,CHEMBL2250,SINGLE PROTEIN
P51451,CHEMBL2363074,PROTEIN FAMILY
P51617,CHEMBL3357,SINGLE PROTEIN
