,UniprotID,Name,kinhub,klifs,pkinfam,reviewed_uniprot,dunbrack_msa
405,Q15349,KS6A2|RPS6KA2-b|RPS6KA2,True,True,True,True,True
406,Q15375,EPHA7,True,True,True,True,True
407,Q15418,RPS6KA1|KS6A1|RPS6KA1-b,True,True,True,True,True
408,Q15546,PAQRB,False,False,False,True,False
409,Q15569,TESK1,True,True,True,True,True
410,Q15700,DLG2,False,False,False,True,False
411,Q15746,MYLK,True,True,True,True,True
412,Q15759,MK11|MAPK11,True,True,True,True,True
413,Q15768,EFNB3,False,False,False,True,False
414,Q15772,SPEG|SPEG-b,True,True,True,True,True
415,Q15831,STK11,True,True,True,True,True
416,Q15835,GRK1,True,True,True,True,True
417,Q16288,NTRK3,True,True,True,True,True
418,Q16512,PKN1,True,True,True,True,True
419,Q16513,PKN2,True,True,True,True,True
420,Q16539,MK14|MAPK14,True,True,True,True,True
421,Q16566,CAMK4|KCC4,True,True,True,True,True
422,Q16584,MAP3K11|M3K11,True,True,True,True,True
423,Q16620,NTRK2,True,True,True,True,True
424,Q16644,MAPKAPK3|MAPK3,True,True,True,True,True
425,Q16654,PDK4,True,True,True,True,False
426,Q16659,MK06|MAPK6,True,True,True,True,True
427,Q16671,AMHR2,True,True,True,True,True
428,Q16760,DGKD,False,False,False,True,False
429,Q16774,KGUA,False,False,False,True,False
430,Q16816,PHKG1,True,True,True,True,True
431,Q16832,DDR2,True,True,True,True,True
432,Q16854,DGUOK,False,False,False,True,False
433,Q16875,F263,False,False,False,True,False
434,Q16877,F264,False,False,False,True,False
435,Q2M2I8,AAK1,True,True,True,True,True
436,Q2TB90,HKDC1,False,False,False,True,False
437,Q32MK0,MYLK3,True,True,True,True,True
438,Q38SD2,LRRK1,True,True,True,True,True
439,Q3LXA3,TKFC,False,False,False,True,False
440,Q3MIX3,ADCK5,True,True,True,True,False
441,Q496M5,PLK5,False,True,True,True,True
442,Q49MI3,CERKL,False,False,False,True,False
443,Q4G0N4,NAKD2,False,False,False,True,False
444,Q504Y2,PKDCC,True,True,True,True,True
445,Q52WX2,SBK1,True,True,True,True,True
